FECHA;OPER;TIPO;GRUPO_NETEO;FONDO;CVA;DVA;NETO;COD
20260514;1032264;FWD;140;WA;-674.544520476687;0;-674.544520476687;01
20260514;1032268;FWD;140;WA;-22522.5569469469;0;-22522.5569469469;01
20260514;1032270;FWD;140;WA;-36611.5496124155;0;-36611.5496124155;01
20260514;1032272;FWD;140;WA;-52932.313418164;1.74987898261864;-52930.5635391814;01
20260514;1032274;FWD;140;WA;-64938.2232264096;7.99460761665863;-64930.2286187929;01
20260514;1032290;FWD;140;WA;-5319713.43647116;654.91507843346;-5319058.52139273;01
20260514;1057535;FWD;140;WA;-157.937081949229;0;-157.937081949229;01
20260514;1057537;FWD;140;WA;-5252.25662163023;0;-5252.25662163023;01
20260514;1057541;FWD;140;WA;-8400.09232303983;0;-8400.09232303983;01
20260514;1057543;FWD;140;WA;-12125.2860887308;0.105080041062101;-12125.1810086897;01
20260514;1057547;FWD;140;WA;-14755.1217729627;0.531939153019116;-14754.5898338097;01
20260514;1057551;FWD;140;WA;-16558.0030422432;1.91318308158316;-16556.0898591616;01
20260514;1057557;FWD;140;WA;-28144.7368150575;9.77684310261082;-28134.9599719549;01
20260514;1057561;FWD;140;WA;-16912.2058408279;6.52552351032272;-16905.6803173176;01
20260514;1057565;FWD;140;WA;-1133629.78797123;437.407627546133;-1133192.38034368;01
20260514;1057648;FWD;140;WA;-4041.18400603102;0;-4041.18400603102;01
20260514;1057650;FWD;140;WA;-137928.312493125;0;-137928.312493125;01
20260514;1057652;FWD;140;WA;-226531.988142271;0;-226531.988142271;01
20260514;1057654;FWD;140;WA;-341246.750978138;0;-341246.750978138;01
20260514;1057657;FWD;140;WA;-430197.167745815;0;-430197.167745815;01
20260514;1057659;FWD;140;WA;-500329.417540652;0;-500329.417540652;01
20260514;1057661;FWD;140;WA;-895518.070588659;0;-895518.070588659;01
20260514;1057663;FWD;140;WA;-722212.400123426;0;-722212.400123426;01
20260514;1057665;FWD;140;WA;-48444554.3524387;0;-48444554.3524387;01
20260514;1066676;FWD;140;WA;-64.3776201071654;0;-64.3776201071654;01
20260514;1066678;FWD;140;WA;-2149.71179207455;0;-2149.71179207455;01
20260514;1066680;FWD;140;WA;-3456.32453142967;0;-3456.32453142967;01
20260514;1066682;FWD;140;WA;-5026.97617014346;0.0137858421319647;-5026.96238430133;01
20260514;1066684;FWD;140;WA;-6159.8483079586;0.0845838891415647;-6159.76372406946;01
20260514;1066686;FWD;140;WA;-6952.20704811394;0.336061550289285;-6951.87098656365;01
20260514;1066688;FWD;140;WA;-8123.47813739387;1.08373322526867;-8122.3944041686;01
