Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,EURUSD,ON,EURUSDON,2026-05-15,2026-05-18,3,0.72166667,10000
2,EURUSD,SP,EURUSDSP,2026-05-15,2026-05-19,4,0.00000000,10000
3,EURUSD,SN,EURUSDSN,2026-05-15,2026-05-20,5,0.55300000,10000
4,EURUSD,SW,EURUSDSW,2026-05-15,2026-05-26,11,3.81500000,10000
5,EURUSD,2W,EURUSD2W,2026-05-15,2026-06-02,18,7.67000000,10000
6,EURUSD,3W,EURUSD3W,2026-05-15,2026-06-09,25,11.42500000,10000
7,EURUSD,1M,EURUSD1M,2026-05-15,2026-06-22,38,18.17500000,10000
8,EURUSD,2M,EURUSD2M,2026-05-15,2026-07-20,66,31.67500000,10000
9,EURUSD,3M,EURUSD3M,2026-05-15,2026-08-19,96,45.25500000,10000
10,EURUSD,4M,EURUSD4M,2026-05-15,2026-09-21,129,59.46500000,10000
11,EURUSD,5M,EURUSD5M,2026-05-15,2026-10-19,157,70.65500000,10000
12,EURUSD,6M,EURUSD6M,2026-05-15,2026-11-19,188,82.78500000,10000
13,EURUSD,7M,EURUSD7M,2026-05-15,2026-12-21,220,95.08500000,10000
14,EURUSD,8M,EURUSD8M,2026-05-15,2027-01-19,249,107.19000000,10000
15,EURUSD,9M,EURUSD9M,2026-05-15,2027-02-19,280,118.80000000,10000
16,EURUSD,10M,EURUSD10M,2026-05-15,2027-03-19,308,129.26500000,10000
17,EURUSD,11M,EURUSD11M,2026-05-15,2027-04-19,339,141.05000000,10000
18,EURUSD,1Y,EURUSD1Y,2026-05-15,2027-05-19,369,152.63500000,10000
19,EURUSD,15M,EURUSD15M,2026-05-15,2027-08-19,461,189.23000000,10000
20,EURUSD,18M,EURUSD18M,2026-05-15,2027-11-19,553,226.19500000,10000
21,EURUSD,21M,EURUSD21M,2026-05-15,2028-02-22,648,264.95000000,10000
22,EURUSD,2Y,EURUSD2Y,2026-05-15,2028-05-19,735,300.63500000,10000
23,EURUSD,3Y,EURUSD3Y,2026-05-15,2029-05-21,1102,447.87500000,10000
24,EURUSD,4Y,EURUSD4Y,2026-05-15,2030-05-20,1466,591.82000000,10000
25,EURUSD,5Y,EURUSD5Y,2026-05-15,2031-05-19,1830,737.92500000,10000
