Mid;USD;COP;ARS;AUD;BRL;CAD;CHF;CLP;CNH;CNY;EUR;GBP;JPY;KRW;MXN;MYR;NOK;NZD;PEN;RUB;SEK;ZAR;DKK;CZK;CRC;HNL;GTQ;CLF;UVR;SGD;HKD;DOP;VEF;PLN;TRY;HUF;KWD;TTD;IDR;ILS;INR;PHP;PYG;THB;TWD;UYU;UDI;NIO;ANG;XCD;GYD;ETB;JMD;AED;QAR;BGN;MAD
PHP;0.016253;61.513597;22.624112;0.022448;0.081218;0.022306;0.012709;14.481627;0.110283;0.110281;0.013889;0.012031;2.567155;24.245396;0.279529;0.063899;0.149976;0.027409;0.055503;1.193346;0.151594;0.266666;0.103793;0.337537;7.385549;0.432458;0.123935;0.000359;0.149867;0.020696;0.127312;0.967425;8.285368;0.05886;0.738461;4.964443;0.004979;0.109763;283.862607;0.047221;1.556536;1;99.092688;0.525223;0.512416;0.651332;0.031614;0.595263;0.029093;0.043884;3.400176;2.556339;2.563354;0.05969;0.059251;0.027165;0.149517
PYG;0.000164;0.620768;0.228313;0.000227;0.00082;0.000225;0.000128;0.146142;0.001113;0.001113;0.00014;0.000121;0.025907;0.244674;0.002821;0.000645;0.001513;0.000277;0.00056;0.012043;0.00153;0.002691;0.001047;0.003406;0.074532;0.004364;0.001251;0.000004;0.001512;0.000209;0.001285;0.009763;0.083612;0.000594;0.007452;0.050099;0.00005;0.001108;2.864617;0.000477;0.015708;0.010092;1;0.0053;0.005171;0.006573;0.000319;0.006007;0.000294;0.000443;0.034313;0.025797;0.025868;0.000602;0.000598;0.000274;0.001509
THB;0.030945;117.119025;43.075255;0.04274;0.154634;0.04247;0.024197;27.572344;0.209974;0.20997;0.026445;0.022906;4.887743;46.162105;0.532209;0.121661;0.285548;0.052186;0.105675;2.272076;0.288629;0.507719;0.197617;0.642655;14.061741;0.82338;0.235966;0.000684;0.28534;0.039405;0.242396;1.841932;15.774955;0.112067;1.405995;9.452069;0.00948;0.208984;540.461193;0.089906;2.963573;1.903953;188.667866;1;0.975615;1.240106;0.060192;1.133353;0.055392;0.083553;6.473776;4.86715;4.880506;0.113647;0.112811;0.05172;0.284673
TWD;0.031719;120.04631;44.151883;0.043808;0.158499;0.043531;0.024802;28.26149;0.215222;0.215218;0.027105;0.023478;5.009908;47.315885;0.545512;0.124702;0.292685;0.05349;0.108317;2.328864;0.295843;0.520409;0.202557;0.658718;14.413201;0.843959;0.241864;0.000701;0.292472;0.04039;0.248454;1.887969;16.169236;0.114868;1.441137;9.688315;0.009717;0.214207;553.969532;0.092153;3.037644;1.951541;193.383449;1.024994;1;1.271101;0.061696;1.16168;0.056777;0.085641;6.635582;4.9888;5.00249;0.116487;0.115631;0.053013;0.291788
UYU;0.024954;94.442781;34.73515;0.034465;0.124695;0.034247;0.019512;22.233867;0.169319;0.169316;0.021324;0.018471;3.941392;37.224333;0.429165;0.098105;0.230261;0.042082;0.085215;1.832163;0.232745;0.409416;0.159355;0.518226;11.339148;0.663959;0.190279;0.000551;0.230093;0.031776;0.195464;1.485302;12.720654;0.090369;1.13377;7.621987;0.007645;0.168521;435.818671;0.072499;2.389774;1.535316;152.138544;0.806383;0.78672;1;0.048538;0.913917;0.044667;0.067375;5.220342;3.924787;3.935557;0.091643;0.090969;0.041706;0.229555
UDI;0.514112;1945.760988;715.63225;0.710057;2.569024;0.705575;0.401994;458.074098;3.488406;3.488337;0.439337;0.380545;81.202687;766.915732;8.84188;2.021215;4.743963;0.866988;1.755642;37.747208;4.795145;8.43501;3.283123;10.676772;233.61522;13.679244;3.920235;0.01136;4.740508;0.654656;4.027052;30.600995;262.077764;1.861823;23.358546;157.032281;0.157498;3.471955;8978.970767;1.493658;49.235417;31.631397;3134.440138;16.613535;16.20842;20.602538;1;18.829005;0.920261;1.388103;107.552302;80.860566;81.082457;1.888078;1.874197;0.859256;4.729422
NIO;0.027304;103.338494;38.006908;0.037711;0.13644;0.037473;0.02135;24.32811;0.185268;0.185264;0.023333;0.020211;4.312638;40.730551;0.469588;0.107346;0.25195;0.046045;0.093241;2.004737;0.254668;0.44798;0.174365;0.567039;12.4072;0.726499;0.208202;0.000603;0.251766;0.034769;0.213875;1.625205;13.918833;0.098881;1.240562;8.339914;0.008365;0.184394;476.869112;0.079328;2.614871;1.679929;166.468711;0.882337;0.860822;1.094192;0.05311;1;0.048875;0.073722;5.712055;4.294468;4.306253;0.100275;0.099538;0.045635;0.251177
ANG;0.558659;2114.357542;777.640447;0.771582;2.791625;0.766712;0.436825;497.765363;3.79067;3.790595;0.477405;0.413519;88.238748;833.367547;9.608012;2.196349;5.155018;0.942111;1.907765;41.017933;5.210636;9.165888;3.567599;11.601894;253.857542;14.864525;4.259916;0.012344;5.151264;0.711381;4.375989;33.252514;284.786313;2.023146;25.382521;170.638835;0.171145;3.772793;9756.981808;1.623081;53.501574;34.372198;3406.03352;18.053066;17.612849;22.387709;1.086648;20.460503;1;1.50838;116.871508;87.866983;88.108101;2.051676;2.036592;0.933709;5.139218
XCD;0.37037;1401.740741;515.546815;0.51153;1.850744;0.508302;0.289599;330;2.513074;2.513024;0.316502;0.274148;58.499022;552.491818;6.369756;1.456098;3.417586;0.624585;1.264778;27.19337;3.454459;6.076644;2.365186;7.691626;168.298148;9.85463;2.824167;0.008184;3.415097;0.471619;2.901119;22.045185;188.802778;1.341271;16.827671;113.127227;0.113463;2.501222;6468.517569;1.076043;35.469562;22.787494;2258.074074;11.968514;11.676667;14.842222;0.720407;13.564556;0.662963;1;77.481481;58.252556;58.412407;1.360185;1.350185;0.619014;3.407111
GYD;0.00478;18.0913;6.653807;0.006602;0.023886;0.00656;0.003738;4.259082;0.032435;0.032434;0.004085;0.003538;0.755006;7.130631;0.08221;0.018793;0.044108;0.008061;0.016324;0.350966;0.044584;0.078427;0.030526;0.099271;2.172108;0.127187;0.03645;0.000106;0.044076;0.006087;0.037443;0.284522;2.436747;0.017311;0.217183;1.460055;0.001464;0.032282;83.484691;0.013888;0.457781;0.294102;29.143403;0.154469;0.150703;0.191558;0.009298;0.175068;0.008556;0.012906;1;0.751826;0.753889;0.017555;0.017426;0.007989;0.043973
ETB;0.006358;24.063163;8.850201;0.008781;0.031771;0.008726;0.004971;5.664988;0.043141;0.04314;0.005433;0.004706;1.004231;9.484422;0.109347;0.024996;0.058668;0.010722;0.021712;0.466818;0.059301;0.104315;0.040602;0.132039;2.889112;0.169171;0.048481;0.00014;0.058626;0.008096;0.049802;0.378442;3.241107;0.023025;0.288874;1.942013;0.001948;0.042938;111.04264;0.018472;0.608893;0.391184;38.76352;0.205459;0.200449;0.254791;0.012367;0.232858;0.011381;0.017167;1.330096;1;1.002744;0.02335;0.023178;0.010626;0.058489
JMD;0.006341;23.997312;8.825981;0.008757;0.031684;0.008702;0.004958;5.649485;0.043023;0.043022;0.005418;0.004693;1.001483;9.458467;0.109048;0.024928;0.058508;0.010693;0.021653;0.465541;0.059139;0.10403;0.040491;0.131678;2.881205;0.168708;0.048349;0.00014;0.058465;0.008074;0.049666;0.377406;3.232238;0.022962;0.288084;1.936699;0.001942;0.04282;110.73876;0.018421;0.607227;0.390114;38.657439;0.204897;0.1999;0.254094;0.012333;0.23222;0.01135;0.01712;1.326456;0.997263;1;0.023286;0.023115;0.010597;0.058329
AED;0.272294;1030.551396;379.02693;0.376074;1.360656;0.3737;0.212912;242.614023;1.847597;1.84756;0.23269;0.201552;43.008131;406.188675;4.683007;1.070515;2.512589;0.459191;0.929857;19.992403;2.539697;4.467512;1.738871;5.654837;123.73179;7.245065;2.07631;0.006017;2.510759;0.346732;2.132885;16.207488;138.806671;0.986095;12.371603;83.17046;0.083417;1.838884;4755.615367;0.7911;26.07701;16.753229;1660.122532;8.79918;8.584615;10.911913;0.529639;9.97258;0.487406;0.735194;56.963921;42.82693;42.944452;1;0.992648;0.455096;2.504888
QAR;0.274311;1038.184063;381.834152;0.378859;1.370734;0.376468;0.214488;244.410918;1.861281;1.861244;0.234414;0.203044;43.326666;409.197068;4.717691;1.078443;2.531198;0.462592;0.936744;20.140475;2.558507;4.5006;1.751749;5.696719;124.648196;7.298724;2.091688;0.006061;2.529355;0.3493;2.148682;16.327527;139.834728;0.993398;12.463232;83.786453;0.084035;1.852503;4790.837316;0.796959;26.270146;16.87731;1672.41805;8.86435;8.648196;10.992731;0.533562;10.046441;0.491016;0.740639;57.385818;43.144123;43.262515;1.007406;1;0.458466;2.52344
BGN;0.598323;2264.472819;832.851408;0.826363;2.989825;0.821147;0.467839;533.105737;4.059801;4.05972;0.5113;0.442878;94.503528;892.535024;10.290163;2.352286;5.521014;1.008999;2.043213;43.930127;5.580581;9.816648;3.820892;12.425606;271.880934;15.919878;4.562362;0.013221;5.516994;0.761888;4.686676;35.613378;305.005588;2.166786;27.18463;182.75386;0.183296;4.040654;10449.708559;1.738317;57.300082;36.812558;3647.855282;19.334799;18.863327;23.977193;1.163798;21.913159;1.070998;1.615472;125.169158;94.105368;94.363605;2.197341;2.181186;1;5.504092
MAD;0.108705;411.41621;151.31494;0.150136;0.5432;0.149189;0.084998;96.856248;0.737597;0.737582;0.092894;0.080463;17.169684;162.158439;1.869548;0.42737;1.003074;0.183318;0.371217;7.981357;1.013897;1.783518;0.694191;2.257521;49.396143;2.892371;0.828904;0.002402;1.002344;0.138422;0.851489;6.470345;55.41433;0.393668;4.938985;33.203269;0.033302;0.734118;1898.534377;0.315823;10.410451;6.688216;662.753283;3.512804;3.427146;4.356248;0.211442;3.981248;0.194582;0.293504;22.741108;17.097345;17.144263;0.399219;0.396284;0.181683;1
