Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDMXN,ON,USDMXNON,2026-05-15,2026-05-18,3,0.00196200,1
2,USDMXN,SP,USDMXNSP,2026-05-15,2026-05-19,4,0.00000000,1
3,USDMXN,SW,USDMXNSW,2026-05-15,2026-05-26,11,0.01029050,1
4,USDMXN,2W,USDMXN2W,2026-05-15,2026-06-02,18,0.02110000,1
5,USDMXN,3W,USDMXN3W,2026-05-15,2026-06-09,25,0.03151550,1
6,USDMXN,1M,USDMXN1M,2026-05-15,2026-06-22,38,0.05081650,1
7,USDMXN,2M,USDMXN2M,2026-05-15,2026-07-20,66,0.09279000,1
8,USDMXN,3M,USDMXN3M,2026-05-15,2026-08-19,96,0.13828100,1
9,USDMXN,4M,USDMXN4M,2026-05-15,2026-09-21,129,0.18884100,1
10,USDMXN,5M,USDMXN5M,2026-05-15,2026-10-19,157,0.23148850,1
11,USDMXN,6M,USDMXN6M,2026-05-15,2026-11-19,188,0.27926200,1
12,USDMXN,7M,USDMXN7M,2026-05-15,2026-12-21,220,0.33135450,1
13,USDMXN,8M,USDMXN8M,2026-05-15,2027-01-19,249,0.37875100,1
14,USDMXN,9M,USDMXN9M,2026-05-15,2027-02-19,280,0.42694550,1
15,USDMXN,10M,USDMXN10M,2026-05-15,2027-03-19,308,0.47778700,1
16,USDMXN,11M,USDMXN11M,2026-05-15,2027-04-19,339,0.53287550,1
17,USDMXN,1Y,USDMXN1Y,2026-05-15,2027-05-19,369,0.58480300,1
18,USDMXN,18M,USDMXN18M,2026-05-15,2027-11-19,553,0.95878250,1
19,USDMXN,2Y,USDMXN2Y,2026-05-15,2028-05-19,735,1.36593250,1
20,USDMXN,3Y,USDMXN3Y,2026-05-15,2029-05-21,1102,2.30525400,1
21,USDMXN,4Y,USDMXN4Y,2026-05-15,2030-05-20,1466,3.29097100,1
22,USDMXN,5Y,USDMXN5Y,2026-05-15,2031-05-19,1830,4.30096900,1
