Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips
1,FWCOP,ON,FWCOPON,2026-05-14,2026-05-15,1,0.85375
2,FWCOP,SW,FWCOPSW,2026-05-14,2026-05-21,7,5.945
3,FWCOP,2W,FWCOP2W,2026-05-14,2026-05-28,14,11.2
4,FWCOP,1M,FWCOP1M,2026-05-14,2026-06-17,34,26.7
5,FWCOP,2M,FWCOP2M,2026-05-14,2026-07-16,63,50.2
6,FWCOP,3M,FWCOP3M,2026-05-14,2026-08-14,92,75.25
7,FWCOP,6M,FWCOP6M,2026-05-14,2026-11-17,187,163.5
8,FWCOP,9M,FWCOP9M,2026-05-14,2027-02-17,279,254
9,FWCOP,1Y,FWCOP1Y,2026-05-14,2027-05-17,368,340.5
10,FWCOP,18M,FWCOP18M,2026-05-14,2027-11-17,552,523
11,FWCOP,2Y,FWCOP2Y,2026-05-14,2028-05-19,736,732.5825354
12,FWCOP,3Y,FWCOP3Y,2026-05-14,2029-05-21,1103,1142.41308618
13,FWCOP,4Y,FWCOP4Y,2026-05-14,2030-05-20,1467,1572.45326934
14,FWCOP,5Y,FWCOP5Y,2026-05-14,2031-05-19,1831,2019.39983466
15,FWCOP,6Y,FWCOP6Y,2026-05-14,2032-05-19,2197,2478.07801335
16,FWCOP,7Y,FWCOP7Y,2026-05-14,2033-05-19,2562,2963.48027563
17,FWCOP,8Y,FWCOP8Y,2026-05-14,2034-05-19,2927,3488.04505072
18,FWCOP,9Y,FWCOP9Y,2026-05-14,2035-05-21,3294,4066.20738851
19,FWCOP,10Y,FWCOP10Y,2026-05-14,2036-05-19,3658,4721.16216731
20,FWCOP,12Y,FWCOP12Y,2026-05-14,2038-05-19,4388,5958.83575191
21,FWCOP,15Y,FWCOP15Y,2026-05-14,2041-05-20,5485,8275.77601005
22,FWCOP,20Y,FWCOP20Y,2026-05-14,2046-05-21,7312,14107.07619251
23,FWCOP,25Y,FWCOP25Y,2026-05-14,2051-05-19,9136,22574.34626826
24,FWCOP,30Y,FWCOP30Y,2026-05-14,2056-05-19,10963,33578.99894969
